Time: 0
Object: x = 3.88191e+006, y = 1.15658e+006
Object: x = 3.13974e+006, y = 6.3337e+006
Object: x = 5.09686e+006, y = 4.96108e+006
Object: x = 8.0917e+006, y = 5.44735e+006
Object: x = 4.29551e+006, y = 8.44305e+006
Object: x = 2.19945e+006, y = 8.40206e+006
Object: x = 3.2124e+006, y = 6.58377e+006
Object: x = 135776, y = 843231
Object: x = 3.55953e+006, y = 8.15756e+006
Object: x = 9.22436e+006, y = 7.21739e+006
Object: x = 2.20966e+006, y = 1.68108e+006
Object: x = 5.85783e+006, y = 471006
Object: x = 4.35366e+006, y = 4.75411e+006
Object: x = 3.47397e+006, y = 7.0468e+006
Object: x = 8.61327e+006, y = 856532
Object: x = 2.8892e+006, y = 1.6176e+006
Object: x = 2.3549e+006, y = 9.62622e+006
Object: x = 4.04384e+006, y = 8.77602e+006
Object: x = 6.26081e+006, y = 5.71988e+006
Object: x = 7.43853e+006, y = 4.45721e+006
Object: x = 5.16462e+006, y = 7.75115e+006
Object: x = 4.52298e+006, y = 4.19097e+006
Object: x = 2.65408e+006, y = 6.19168e+006
Object: x = 2.01481e+006, y = 5.23755e+006
Object: x = 8.41987e+006, y = 9.06999e+006
Object: x = 5.89282e+006, y = 1.65752e+006
Object: x = 347700, y = 3.5173e+006
Object: x = 688066, y = 6.15207e+006
Object: x = 2.57461e+006, y = 3.7689e+006
Object: x = 4.10416e+006, y = 217945
Object: x = 239845, y = 6.67353e+006
Object: x = 9.0849e+006, y = 9.3725e+006
Object: x = 2.24271e+006, y = 8.58834e+006
Object: x = 2.45748e+006, y = 5.72894e+006
Object: x = 136412, y = 3.93145e+006
Object: x = 9.65281e+006, y = 8.27362e+006
Object: x = 8.18919e+006, y = 47418.3
Object: x = 1.48676e+006, y = 1.11766e+006
Object: x = 2.32873e+006, y = 3.68057e+006
Object: x = 2.49183e+006, y = 7.32933e+006
Object: x = 7.98294e+006, y = 2.04301e+006
Object: x = 4.37457e+006, y = 7.54691e+006
Object: x = 7.6347e+006, y = 2.08041e+006
Object: x = 4.7157e+006, y = 5.69204e+006
Object: x = 5.546e+006, y = 1.56179e+006
Object: x = 9.60803e+006, y = 4.00565e+006
Object: x = 7.02099e+006, y = 5.91146e+006
Object: x = 1.43523e+006, y = 5.55927e+006
Object: x = 7.91355e+006, y = 6.85399e+006
Object: x = 6.27592e+006, y = 6.76542e+006
Object: x = 5.64668e+006, y = 5.20309e+006
Object: x = 3.58596e+006, y = 4.36146e+006
Object: x = 616558, y = 2.95982e+006
Object: x = 7.98591e+006, y = 2.34391e+006
Object: x = 5.80273e+006, y = 849947
Object: x = 7.40157e+006, y = 8.30809e+006
Object: x = 6.04852e+006, y = 5.53474e+006
Object: x = 4.2183e+006, y = 1.90844e+006
Object: x = 4.2371e+006, y = 1.60221e+006
Object: x = 6.39108e+006, y = 4.16248e+006
Object: x = 4.31077e+006, y = 8.27171e+006
Object: x = 2.24672e+006, y = 3.65491e+006
Object: x = 4.63664e+006, y = 7.74545e+006
Object: x = 7.84333e+006, y = 1.14067e+006
Object: x = 4.98999e+006, y = 3.17418e+006
Object: x = 9.86703e+006, y = 6.1696e+006
Object: x = 8.8513e+006, y = 9.89781e+006
Object: x = 3.02228e+006, y = 9.59925e+006
Object: x = 1.98169e+006, y = 6.91947e+006
Object: x = 2.88771e+006, y = 4.52563e+006
Object: x = 3.07517e+006, y = 8.77232e+006
Object: x = 9.40166e+006, y = 5.01888e+006
Object: x = 3.51454e+006, y = 6.45148e+006
Object: x = 5.82858e+006, y = 1.19488e+006
Object: x = 6.3428e+006, y = 6.72343e+006
Object: x = 5.84031e+006, y = 9.5134e+006
Object: x = 1.22474e+006, y = 1.51539e+006
Object: x = 3.20285e+006, y = 8.291e+006
Object: x = 3.52924e+006, y = 4.7572e+006
Object: x = 6.08702e+006, y = 711702
Object: x = 4.85066e+006, y = 3.25483e+006
Object: x = 8.55445e+006, y = 9.14955e+006
Object: x = 8.51065e+006, y = 6.11354e+006
Object: x = 8.92902e+006, y = 1.49624e+006
Object: x = 1.52552e+006, y = 3.95395e+006
Object: x = 8.21984e+006, y = 161384
Object: x = 9.65976e+006, y = 8.89127e+006
Object: x = 5.83908e+006, y = 7.62214e+006
Object: x = 5.69727e+006, y = 8.24068e+006
Object: x = 1.28919e+006, y = 2.56687e+006
Object: x = 1.61184e+006, y = 9.72146e+006
Object: x = 5.09451e+006, y = 3.24107e+006
Object: x = 8.83166e+006, y = 1.21639e+006
Object: x = 9.41905e+006, y = 7.63023e+006
Object: x = 3.3722e+006, y = 1.68706e+006
Object: x = 6.66077e+006, y = 2.99642e+006
Object: x = 8.0473e+006, y = 6.11424e+006
Object: x = 5.48038e+006, y = 3.65811e+006
Object: x = 3.75904e+006, y = 5.4446e+006
Object: x = 7.6515e+006, y = 4.73431e+006
Object: x = 464617, y = 5.5371e+006
Object: x = 1.62131e+006, y = 599930
Object: x = 4.40369e+006, y = 6.16552e+006
Object: x = 3.59321e+006, y = 2.39699e+006
Object: x = 7.5583e+006, y = 774674
Object: x = 7.27982e+006, y = 239969
Object: x = 3.49538e+006, y = 9.16989e+006
Object: x = 2.30252e+006, y = 4.83979e+006
Object: x = 2.64881e+006, y = 1.9695e+006
Object: x = 330356, y = 4.66186e+006
Object: x = 8.78446e+006, y = 2.2522e+006
Object: x = 2.44302e+006, y = 38899.7
Object: x = 3.84729e+006, y = 3.22456e+006
Object: x = 255186, y = 1.90521e+006
Object: x = 1.47644e+006, y = 655929
Object: x = 3.87293e+006, y = 6.3342e+006
Object: x = 9.5061e+006, y = 4.15231e+006
Object: x = 5.30475e+006, y = 9.59957e+006
Object: x = 3.35696e+006, y = 7.71223e+006
Object: x = 4.99098e+006, y = 820592
Object: x = 4.83736e+006, y = 3.47088e+006
Object: x = 4.89074e+006, y = 2.70959e+006
Object: x = 9.41157e+006, y = 5.59939e+006
Object: x = 3.67773e+006, y = 4.69056e+006
Object: x = 9.43255e+006, y = 7.80039e+006
Object: x = 4.34556e+006, y = 7.79502e+006
Object: x = 4.89902e+006, y = 1.67057e+006
Object: x = 1.37657e+006, y = 4.71347e+006
Object: x = 2.86409e+006, y = 7.12186e+006
Object: x = 1.40612e+006, y = 8.82753e+006
Object: x = 4.4463e+006, y = 3.36906e+006
Object: x = 9.05325e+006, y = 8.8684e+006
Object: x = 9.20152e+006, y = 3.25505e+006
Object: x = 8.97439e+006, y = 4.31631e+006
Object: x = 5.73308e+006, y = 369095
Object: x = 1.60883e+006, y = 9.62576e+006
Object: x = 5.28108e+006, y = 3.52503e+006
Object: x = 7.98856e+006, y = 8.27578e+006
Object: x = 3.62383e+006, y = 7.65105e+006
Object: x = 9.28762e+006, y = 5.08379e+006
Object: x = 4.18304e+006, y = 5.18445e+006
Object: x = 5.84074e+006, y = 794317
Object: x = 9.45898e+006, y = 313503
Object: x = 6.37893e+006, y = 2.65915e+006
Object: x = 9.16962e+006, y = 9.89638e+006
Object: x = 3.29566e+006, y = 5.5971e+006
Object: x = 155164, y = 141446
Object: x = 6.53745e+006, y = 6.1823e+006
Object: x = 5.94681e+006, y = 8.39314e+006
Object: x = 1.23808e+006, y = 8.5852e+006
Object: x = 7.36054e+006, y = 3.65117e+006
Object: x = 9.51522e+006, y = 758020
Object: x = 5.11803e+006, y = 7.73831e+006
Object: x = 9.4564e+006, y = 7.93542e+006
Object: x = 5.54733e+006, y = 8.20544e+006
Object: x = 812019, y = 5.24649e+006
Object: x = 4.71202e+006, y = 957974
Object: x = 283339, y = 3.64028e+006
Object: x = 481705, y = 1.44068e+006
Object: x = 4.15654e+006, y = 1.8256e+006
Object: x = 9.33217e+006, y = 7.52465e+006
Object: x = 4.15731e+006, y = 311699
Object: x = 1.52837e+006, y = 7.58682e+006
Object: x = 3.67867e+006, y = 4.81706e+006
Object: x = 4.40624e+006, y = 1.57678e+006
Object: x = 81371.2, y = 4.69096e+006
Object: x = 2.25303e+006, y = 6.20343e+006
Object: x = 7.54087e+006, y = 8.77312e+006
Object: x = 8.47283e+006, y = 2.98936e+006
Object: x = 1.86421e+006, y = 4.07282e+006
Object: x = 2.16301e+006, y = 2.48361e+006
Object: x = 8.78511e+006, y = 3.62465e+006
Object: x = 514343, y = 4.10347e+006
Object: x = 2.73954e+006, y = 3.22022e+006
Object: x = 9.40832e+006, y = 4.86788e+006
Object: x = 1.00494e+006, y = 8.21262e+006
Object: x = 1.89491e+006, y = 4.7859e+006
Object: x = 2.42258e+006, y = 3.55115e+006
Object: x = 2.38215e+006, y = 3.57265e+006
